PERIOD_NAME,PERIOD_TYPE,PERIOD_START_DATE,PERIOD_END_DATE,company_id1,company_id2,PERIOD_NAME_STANDARDIZED
Q1-2014,fiscal_quarter,2014-01-01,2014-03-31,005930 KS,KRX:005930,2014-1Q
Q1-2014,fiscal_quarter,2014-01-01,2014-03-31,005930 KS,KRX:005930,2014-1Q
Q1-2014,fiscal_quarter,2014-01-01,2014-03-31,005930 KS,KRX:005930,2014-1Q
Q2-2014,fiscal_quarter,2014-04-01,2014-06-30,005930 KS,KRX:005930,2014-2Q
Q2-2014,fiscal_quarter,2014-04-01,2014-06-30,005930 KS,KRX:005930,2014-2Q
Q2-2014,fiscal_quarter,2014-04-01,2014-06-30,005930 KS,KRX:005930,2014-2Q
Q3-2014,fiscal_quarter,2014-07-01,2014-09-30,005930 KS,KRX:005930,2014-3Q
Q3-2014,fiscal_quarter,2014-07-01,2014-09-30,005930 KS,KRX:005930,2014-3Q
Q3-2014,fiscal_quarter,2014-07-01,2014-09-30,005930 KS,KRX:005930,2014-3Q
Q4-2014,fiscal_quarter,2014-10-01,2014-12-31,005930 KS,KRX:005930,2014-4Q
Q4-2014,fiscal_quarter,2014-10-01,2014-12-31,005930 KS,KRX:005930,2014-4Q
Q4-2014,fiscal_quarter,2014-10-01,2014-12-31,005930 KS,KRX:005930,2014-4Q
Q1-2015,fiscal_quarter,2015-01-01,2015-03-31,005930 KS,KRX:005930,2015-1Q
Q1-2015,fiscal_quarter,2015-01-01,2015-03-31,005930 KS,KRX:005930,2015-1Q
Q1-2015,fiscal_quarter,2015-01-01,2015-03-31,005930 KS,KRX:005930,2015-1Q
Q2-2015,fiscal_quarter,2015-04-01,2015-06-30,005930 KS,KRX:005930,2015-2Q
Q2-2015,fiscal_quarter,2015-04-01,2015-06-30,005930 KS,KRX:005930,2015-2Q
Q2-2015,fiscal_quarter,2015-04-01,2015-06-30,005930 KS,KRX:005930,2015-2Q
Q3-2015,fiscal_quarter,2015-07-01,2015-09-30,005930 KS,KRX:005930,2015-3Q
Q3-2015,fiscal_quarter,2015-07-01,2015-09-30,005930 KS,KRX:005930,2015-3Q
Q3-2015,fiscal_quarter,2015-07-01,2015-09-30,005930 KS,KRX:005930,2015-3Q
Q4-2015,fiscal_quarter,2015-10-01,2015-12-31,005930 KS,KRX:005930,2015-4Q
Q4-2015,fiscal_quarter,2015-10-01,2015-12-31,005930 KS,KRX:005930,2015-4Q
Q4-2015,fiscal_quarter,2015-10-01,2015-12-31,005930 KS,KRX:005930,2015-4Q
Q1-2016,fiscal_quarter,2016-01-01,2016-03-31,005930 KS,KRX:005930,2016-1Q
Q1-2016,fiscal_quarter,2016-01-01,2016-03-31,005930 KS,KRX:005930,2016-1Q
Q1-2016,fiscal_quarter,2016-01-01,2016-03-31,005930 KS,KRX:005930,2016-1Q
Q2-2016,fiscal_quarter,2016-04-01,2016-06-30,005930 KS,KRX:005930,2016-2Q
Q2-2016,fiscal_quarter,2016-04-01,2016-06-30,005930 KS,KRX:005930,2016-2Q
Q2-2016,fiscal_quarter,2016-04-01,2016-06-30,005930 KS,KRX:005930,2016-2Q
Q3-2016,fiscal_quarter,2016-07-01,2016-09-30,005930 KS,KRX:005930,2016-3Q
Q3-2016,fiscal_quarter,2016-07-01,2016-09-30,005930 KS,KRX:005930,2016-3Q
Q3-2016,fiscal_quarter,2016-07-01,2016-09-30,005930 KS,KRX:005930,2016-3Q
Q4-2016,fiscal_quarter,2016-10-01,2016-12-31,005930 KS,KRX:005930,2016-4Q
Q4-2016,fiscal_quarter,2016-10-01,2016-12-31,005930 KS,KRX:005930,2016-4Q
Q4-2016,fiscal_quarter,2016-10-01,2016-12-31,005930 KS,KRX:005930,2016-4Q
Q1-2017,fiscal_quarter,2017-01-01,2017-03-31,005930 KS,KRX:005930,2017-1Q
Q1-2017,fiscal_quarter,2017-01-01,2017-03-31,005930 KS,KRX:005930,2017-1Q
