COMPANY_ID,MERCHANT_TICKER,MERCHANT_EXCHANGE,MERCHANT_NAME,FISCAL_QUARTER,KPINAME,KPIVALUE,LASTCONSENSES,IS_PRIMARY_KPI,INCLUDE_TICKER_IN_PANEL_TOTAL
18711,ALL,NYSE,CONSOLIDATED,2012-1Q,Revenue,6630,6623.85692,1,false
18711,ALL,NYSE,CONSOLIDATED,2012-2Q,Revenue,6666,6730.87329,1,false
18711,ALL,NYSE,CONSOLIDATED,2012-3Q,Revenue,6697,6707.32308,1,false
18711,ALL,NYSE,CONSOLIDATED,2012-4Q,Revenue,6744,6711.58462,1,false
18711,ALL,NYSE,CONSOLIDATED,2013-1Q,Revenue,6770,6761.77778,1,false
18711,ALL,NYSE,CONSOLIDATED,2013-2Q,Revenue,6862,6819.46667,1,false
18711,ALL,NYSE,CONSOLIDATED,2013-3Q,Revenue,6972,6907.6,1,false
18711,ALL,NYSE,CONSOLIDATED,2013-4Q,Revenue,7014,6991,1,false
18711,ALL,NYSE,CONSOLIDATED,2014-1Q,Revenue,7064,7178.09483,1,false
18711,ALL,NYSE,CONSOLIDATED,2014-2Q,Revenue,7204,7203.22727,1,false
18711,ALL,NYSE,CONSOLIDATED,2014-3Q,Revenue,7307,7272.1,1,false
18711,ALL,NYSE,CONSOLIDATED,2014-4Q,Revenue,7354,7484.13077,1,false
18711,ALL,NYSE,CONSOLIDATED,2015-1Q,Revenue,7426,7461.56364,1,false
18711,ALL,NYSE,CONSOLIDATED,2015-2Q,Revenue,7549,7554.66667,1,false
18711,ALL,NYSE,CONSOLIDATED,2015-3Q,Revenue,7650,7645.875,1,false
18711,ALL,NYSE,CONSOLIDATED,2015-4Q,Revenue,7684,7710.09,1,false
18711,ALL,NYSE,CONSOLIDATED,2016-1Q,Revenue,7723,7758.8,1,false
18711,ALL,NYSE,CONSOLIDATED,2016-2Q,Revenue,7814,7822.625,1,false
18711,ALL,NYSE,CONSOLIDATED,2016-3Q,Revenue,7869,7863.71429,1,false
18711,ALL,NYSE,CONSOLIDATED,2016-4Q,Revenue,7901,7887.2,1,false
